frame,benchpress_angle,video_name
0,139.1744682899141,benchpress_0.mp4
1,150.01493243326854,benchpress_0.mp4
2,152.3362488497317,benchpress_0.mp4
3,153.71197811074902,benchpress_0.mp4
4,153.8210174174285,benchpress_0.mp4
5,154.2098532439618,benchpress_0.mp4
6,153.6970412522561,benchpress_0.mp4
7,153.2159378504532,benchpress_0.mp4
8,152.88652931273555,benchpress_0.mp4
9,152.70338206912078,benchpress_0.mp4
10,152.4124645889823,benchpress_0.mp4
11,143.66697395688539,benchpress_0.mp4
12,139.91972326155553,benchpress_0.mp4
13,136.25310167937803,benchpress_0.mp4
14,131.0771031914504,benchpress_0.mp4
15,127.22968832301615,benchpress_0.mp4
16,125.035502736667,benchpress_0.mp4
17,121.4128572576258,benchpress_0.mp4
18,118.55612088274982,benchpress_0.mp4
19,112.29511167624209,benchpress_0.mp4
20,111.8972211126488,benchpress_0.mp4
21,116.46679992004893,benchpress_0.mp4
22,112.6506956522347,benchpress_0.mp4
23,107.45645722095333,benchpress_0.mp4
24,99.75592187537923,benchpress_0.mp4
25,98.40751467003798,benchpress_0.mp4
26,93.4042460442684,benchpress_0.mp4
27,88.98572552159031,benchpress_0.mp4
28,85.29783430276144,benchpress_0.mp4
29,81.18201733714699,benchpress_0.mp4
30,91.8044749625778,benchpress_0.mp4
31,92.86562936177386,benchpress_0.mp4
32,95.078252222207,benchpress_0.mp4
33,104.81561367445615,benchpress_0.mp4
34,109.07715562895113,benchpress_0.mp4
35,111.17722031834816,benchpress_0.mp4
36,114.97892046455877,benchpress_0.mp4
37,117.29911835032915,benchpress_0.mp4
38,122.36662409079696,benchpress_0.mp4
39,122.58624591910845,benchpress_0.mp4
40,124.64918783442613,benchpress_0.mp4
41,130.57092025140636,benchpress_0.mp4
42,130.1221857474985,benchpress_0.mp4
43,129.07447511287552,benchpress_0.mp4
44,129.13310258219394,benchpress_0.mp4
45,128.11455518064741,benchpress_0.mp4
46,127.74726719008646,benchpress_0.mp4
47,128.55103606752147,benchpress_0.mp4
48,126.29367145115468,benchpress_0.mp4
49,126.84723486179699,benchpress_0.mp4
50,128.25957078002156,benchpress_0.mp4
51,122.47840131349585,benchpress_0.mp4
52,115.39026085664199,benchpress_0.mp4
53,108.21577723354353,benchpress_0.mp4
54,93.4446483132334,benchpress_0.mp4
55,91.87095056212321,benchpress_0.mp4
56,96.51497348990368,benchpress_0.mp4
57,105.49821691940606,benchpress_0.mp4
58,107.67643817788887,benchpress_0.mp4
59,108.5380108457463,benchpress_0.mp4
60,115.55905179461976,benchpress_0.mp4
61,123.56504194717036,benchpress_0.mp4
62,136.13520572370385,benchpress_0.mp4
63,142.21854985174025,benchpress_0.mp4
64,148.90021419286577,benchpress_0.mp4
65,152.2846288677195,benchpress_0.mp4
66,152.79382419801175,benchpress_0.mp4
67,156.27442457444488,benchpress_0.mp4
68,157.0023962379643,benchpress_0.mp4
69,156.73388715479513,benchpress_0.mp4
70,158.23328298952922,benchpress_0.mp4
71,157.04563576738346,benchpress_0.mp4
72,156.43439377424048,benchpress_0.mp4
73,156.89684544825175,benchpress_0.mp4
74,157.79373626687672,benchpress_0.mp4
75,157.84344623200874,benchpress_0.mp4
76,157.98563595474346,benchpress_0.mp4
77,157.6903217059345,benchpress_0.mp4
78,157.929211629143,benchpress_0.mp4
79,158.13287337646656,benchpress_0.mp4
80,157.5460812264962,benchpress_0.mp4
81,157.27059110360986,benchpress_0.mp4
82,156.51392671868794,benchpress_0.mp4
83,156.25473121403414,benchpress_0.mp4
84,155.37016733277065,benchpress_0.mp4
85,155.35211010953995,benchpress_0.mp4
0,161.04521339292396,benchpress_1.mp4
1,163.51346047588808,benchpress_1.mp4
2,163.7189842275996,benchpress_1.mp4
3,164.28003470818118,benchpress_1.mp4
4,162.8595683278004,benchpress_1.mp4
5,160.1948553666746,benchpress_1.mp4
6,155.06907202873342,benchpress_1.mp4
7,144.1460275624768,benchpress_1.mp4
8,127.04421709320452,benchpress_1.mp4
9,118.38881488015475,benchpress_1.mp4
10,111.80982467824329,benchpress_1.mp4
11,98.5570455776805,benchpress_1.mp4
12,87.10065277522423,benchpress_1.mp4
13,76.76742855738098,benchpress_1.mp4
14,65.36988208491404,benchpress_1.mp4
15,57.350102235231184,benchpress_1.mp4
16,43.584231878603774,benchpress_1.mp4
17,36.02603467019205,benchpress_1.mp4
18,30.615996573714106,benchpress_1.mp4
19,26.208540545517128,benchpress_1.mp4
20,22.98589066118421,benchpress_1.mp4
21,21.404382033205408,benchpress_1.mp4
